Epoch,Learner,Loss,Accuracy
0,0,1.429094910621643,0.49790000915527344
0,1,1.3926634788513184,0.5228000283241272
0,2,1.3990083932876587,0.5098999738693237
0,3,1.476987361907959,0.4821000099182129
0,4,1.3852498531341553,0.5199999809265137
1,0,1.3901327848434448,0.5130000114440918
1,1,1.3530232906341553,0.5230000019073486
1,2,1.4139448404312134,0.4880000054836273
1,3,1.470235824584961,0.48100000619888306
1,4,1.3937619924545288,0.531000018119812
2,0,1.3528469800949097,0.5350000262260437
2,1,1.349607229232788,0.5370000004768372
2,2,1.3751919269561768,0.5260000228881836
2,3,1.361714243888855,0.5580000281333923
2,4,1.3946231603622437,0.5450000166893005
3,0,1.3039038181304932,0.5550000071525574
3,1,1.3579124212265015,0.546999990940094
3,2,1.35204017162323,0.5339999794960022
3,3,1.320749282836914,0.5609999895095825
3,4,1.354875087738037,0.5350000262260437
4,0,1.4082294702529907,0.527999997138977
4,1,1.4327359199523926,0.5559999942779541
4,2,1.4800114631652832,0.5210000276565552
4,3,1.383428931236267,0.531000018119812
4,4,1.3438395261764526,0.5590000152587891
5,0,1.4286540746688843,0.5429999828338623
5,1,1.3716386556625366,0.5669999718666077
5,2,1.4212678670883179,0.5509999990463257
5,3,1.3559547662734985,0.5490000247955322
5,4,1.4401189088821411,0.5559999942779541
6,0,1.4472894668579102,0.5440000295639038
6,1,1.4553166627883911,0.5649999976158142
6,2,1.5555529594421387,0.5429999828338623
6,3,1.5091437101364136,0.5540000200271606
6,4,1.449354887008667,0.5590000152587891
7,0,1.395925521850586,0.5379999876022339
7,1,1.4175363779067993,0.5389999747276306
7,2,1.4373618364334106,0.5329999923706055
7,3,1.5387861728668213,0.527999997138977
7,4,1.501138687133789,0.5199999809265137
8,0,1.4205049276351929,0.5460000038146973
8,1,1.4108651876449585,0.5550000071525574
8,2,1.3519824743270874,0.5730000138282776
8,3,1.4669427871704102,0.5659999847412109
8,4,1.54598069190979,0.550000011920929
9,0,1.4504289627075195,0.5440000295639038
9,1,1.488328218460083,0.5740000009536743
9,2,1.5536718368530273,0.5479999780654907
9,3,1.4903724193572998,0.5550000071525574
9,4,1.54922616481781,0.5649999976158142
10,0,1.5306459665298462,0.546999990940094
10,1,1.407313346862793,0.5720000267028809
10,2,1.4344865083694458,0.550000011920929
10,3,1.4555549621582031,0.5580000281333923
10,4,1.4312082529067993,0.5590000152587891
11,0,1.6085597276687622,0.5450000166893005
11,1,1.677031397819519,0.5120000243186951
11,2,1.6859405040740967,0.5540000200271606
11,3,1.6596794128417969,0.5519999861717224
11,4,1.6734074354171753,0.5519999861717224
12,0,1.4883850812911987,0.5640000104904175
12,1,1.5658717155456543,0.5559999942779541
12,2,1.5441499948501587,0.5479999780654907
12,3,1.6213351488113403,0.5659999847412109
12,4,1.5949420928955078,0.5569999814033508
13,0,1.628143548965454,0.5419999957084656
13,1,1.7332288026809692,0.5460000038146973
13,2,1.6497821807861328,0.546999990940094
13,3,1.6144729852676392,0.5509999990463257
13,4,1.6462551355361938,0.5370000004768372
14,0,1.6788578033447266,0.5569999814033508
14,1,1.6189919710159302,0.5479999780654907
14,2,1.7517343759536743,0.5460000038146973
14,3,1.762447714805603,0.550000011920929
14,4,1.5875420570373535,0.5699999928474426
15,0,1.6897063255310059,0.5389999747276306
15,1,1.7496838569641113,0.5569999814033508
15,2,1.6047444343566895,0.5460000038146973
15,3,1.7838470935821533,0.5490000247955322
15,4,1.694076657295227,0.5529999732971191
16,0,1.693684458732605,0.5370000004768372
16,1,1.7111693620681763,0.5540000200271606
16,2,1.6945300102233887,0.5360000133514404
16,3,1.6089904308319092,0.5519999861717224
16,4,1.7441890239715576,0.5379999876022339
17,0,1.6504045724868774,0.5590000152587891
17,1,1.6670905351638794,0.5740000009536743
17,2,1.616932988166809,0.5609999895095825
17,3,1.600315809249878,0.5720000267028809
17,4,1.6754196882247925,0.5730000138282776
18,0,1.516493797302246,0.5910000205039978
18,1,1.5987939834594727,0.5950000286102295
18,2,1.750357985496521,0.5690000057220459
18,3,1.63576340675354,0.5879999995231628
18,4,1.4532634019851685,0.593999981880188
19,0,1.6623271703720093,0.5669999718666077
19,1,1.6974104642868042,0.5860000252723694
19,2,1.7485476732254028,0.5770000219345093
19,3,1.602047324180603,0.5870000123977661
19,4,1.5577963590621948,0.5770000219345093
20,0,1.7314481735229492,0.5410000085830688
20,1,1.7736567258834839,0.5559999942779541
20,2,1.7536486387252808,0.5460000038146973
20,3,1.7395265102386475,0.5440000295639038
20,4,1.7126126289367676,0.5509999990463257
21,0,1.7049742937088013,0.5519999861717224
21,1,1.6965221166610718,0.5550000071525574
21,2,1.6124004125595093,0.5490000247955322
21,3,1.8527759313583374,0.5529999732971191
21,4,1.7706408500671387,0.5529999732971191
22,0,1.7537815570831299,0.5640000104904175
22,1,1.7554857730865479,0.5619999766349792
22,2,1.813274621963501,0.5630000233650208
22,3,1.7242989540100098,0.5680000185966492
22,4,1.8934122323989868,0.5400000214576721
23,0,1.8435969352722168,0.5619999766349792
23,1,1.8974636793136597,0.5590000152587891
23,2,1.8555258512496948,0.5479999780654907
23,3,1.9564433097839355,0.5580000281333923
23,4,1.7768803834915161,0.5440000295639038
24,0,1.6482328176498413,0.5879999995231628
24,1,1.8138231039047241,0.5720000267028809
24,2,1.6158161163330078,0.5920000076293945
24,3,1.7054401636123657,0.5820000171661377
24,4,1.784719705581665,0.5680000185966492
25,0,1.8431628942489624,0.5690000057220459
25,1,1.6739200353622437,0.5839999914169312
25,2,1.6739555597305298,0.5770000219345093
25,3,1.7325667142868042,0.5820000171661377
25,4,1.7274672985076904,0.5630000233650208
26,0,1.7982572317123413,0.5580000281333923
26,1,1.7486120462417603,0.5509999990463257
26,2,1.7759333848953247,0.5680000185966492
26,3,1.7545063495635986,0.5640000104904175
26,4,1.7933156490325928,0.5799999833106995
27,0,1.7541731595993042,0.5809999704360962
27,1,1.7231318950653076,0.5770000219345093
27,2,1.768813967704773,0.5740000009536743
27,3,1.6780669689178467,0.5809999704360962
27,4,1.7826306819915771,0.5759999752044678
28,0,1.6603080034255981,0.5730000138282776
28,1,1.8409749269485474,0.5680000185966492
28,2,1.8816356658935547,0.5649999976158142
28,3,1.8611842393875122,0.5619999766349792
28,4,1.9364495277404785,0.5559999942779541
29,0,1.8267313241958618,0.5860000252723694
29,1,1.8868192434310913,0.574999988079071
29,2,1.7475194931030273,0.5979999899864197
29,3,1.7405213117599487,0.578000009059906
29,4,1.883880853652954,0.578000009059906
30,0,1.8623663187026978,0.5600000023841858
30,1,1.760852336883545,0.5600000023841858
30,2,1.7698782682418823,0.5680000185966492
30,3,1.819915533065796,0.5630000233650208
30,4,2.0788519382476807,0.546999990940094
31,0,1.8232927322387695,0.5799999833106995
31,1,1.9268803596496582,0.5839999914169312
31,2,1.942307710647583,0.5989999771118164
31,3,1.8565435409545898,0.5839999914169312
31,4,1.8815420866012573,0.6039999723434448
32,0,1.7856239080429077,0.6079999804496765
32,1,1.8421343564987183,0.5979999899864197
32,2,1.839975357055664,0.6069999933242798
32,3,1.9267895221710205,0.621999979019165
32,4,1.8902992010116577,0.5960000157356262
33,0,1.968603253364563,0.574999988079071
33,1,1.7934894561767578,0.5820000171661377
33,2,1.9157581329345703,0.5799999833106995
33,3,1.9161382913589478,0.5960000157356262
33,4,2.00839900970459,0.5830000042915344
34,0,1.9151227474212646,0.5770000219345093
34,1,2.1374058723449707,0.5690000057220459
34,2,2.317547082901001,0.5440000295639038
34,3,2.0512683391571045,0.5669999718666077
34,4,1.9345722198486328,0.578000009059906
35,0,2.006154775619507,0.5809999704360962
35,1,2.0186333656311035,0.5809999704360962
35,2,2.047640323638916,0.5820000171661377
35,3,1.924521803855896,0.5720000267028809
35,4,2.0300357341766357,0.593999981880188
36,0,2.022339344024658,0.5730000138282776
36,1,2.024101972579956,0.578000009059906
36,2,2.1033196449279785,0.5659999847412109
36,3,2.1321287155151367,0.5759999752044678
36,4,2.1317243576049805,0.5830000042915344
37,0,2.068467140197754,0.5490000247955322
37,1,1.9819469451904297,0.5550000071525574
37,2,1.9625996351242065,0.5559999942779541
37,3,2.0899853706359863,0.5559999942779541
37,4,1.9140383005142212,0.5680000185966492
38,0,1.917076587677002,0.5720000267028809
38,1,2.0722389221191406,0.5699999928474426
38,2,2.071648597717285,0.5849999785423279
38,3,2.096445322036743,0.5720000267028809
38,4,1.9806272983551025,0.5809999704360962
39,0,2.1394875049591064,0.5609999895095825
39,1,2.100680112838745,0.5690000057220459
39,2,2.075953483581543,0.5730000138282776
39,3,1.8939464092254639,0.5740000009536743
39,4,1.9964553117752075,0.574999988079071
40,0,2.030060291290283,0.5759999752044678
40,1,2.1125733852386475,0.5759999752044678
40,2,1.966964840888977,0.5770000219345093
40,3,2.087073564529419,0.5839999914169312
40,4,2.0192394256591797,0.5770000219345093
41,0,2.314708709716797,0.5400000214576721
41,1,2.1509363651275635,0.5460000038146973
41,2,2.4748473167419434,0.5429999828338623
41,3,2.276944875717163,0.5609999895095825
41,4,2.4013538360595703,0.5419999957084656
42,0,2.096256971359253,0.546999990940094
42,1,2.276289463043213,0.5789999961853027
42,2,2.110276937484741,0.5789999961853027
42,3,2.2331364154815674,0.5699999928474426
42,4,2.1282601356506348,0.5740000009536743
43,0,2.4033079147338867,0.5619999766349792
43,1,2.444047212600708,0.5740000009536743
43,2,2.367509126663208,0.546999990940094
43,3,2.3686366081237793,0.5550000071525574
43,4,2.4839658737182617,0.5440000295639038
44,0,2.261481523513794,0.5640000104904175
44,1,2.2904627323150635,0.5680000185966492
44,2,2.2841482162475586,0.5630000233650208
44,3,2.3261353969573975,0.5690000057220459
44,4,2.1883411407470703,0.5659999847412109
45,0,2.2939798831939697,0.5709999799728394
45,1,2.358656644821167,0.5619999766349792
45,2,2.2384843826293945,0.5659999847412109
45,3,2.3406412601470947,0.5680000185966492
45,4,2.392608642578125,0.5720000267028809
46,0,2.2796547412872314,0.550000011920929
46,1,2.36517596244812,0.5519999861717224
46,2,2.2075202465057373,0.5649999976158142
46,3,2.132561445236206,0.5559999942779541
46,4,2.3734703063964844,0.5339999794960022
47,0,2.1048619747161865,0.5730000138282776
47,1,2.3143279552459717,0.5709999799728394
47,2,2.1485178470611572,0.5820000171661377
47,3,2.4428584575653076,0.5740000009536743
47,4,2.1132516860961914,0.5879999995231628
48,0,1.9688701629638672,0.5830000042915344
48,1,1.912082552909851,0.609000027179718
48,2,1.9730879068374634,0.6069999933242798
48,3,1.8975380659103394,0.6060000061988831
48,4,2.0480122566223145,0.5910000205039978
49,0,2.110273599624634,0.5989999771118164
49,1,2.174556255340576,0.5979999899864197
49,2,2.2830984592437744,0.5929999947547913
49,3,2.206747055053711,0.593999981880188
49,4,2.2233657836914062,0.5960000157356262
50,0,2.186288833618164,0.5690000057220459
50,1,2.3430874347686768,0.5640000104904175
50,2,2.3867695331573486,0.5559999942779541
50,3,2.4757516384124756,0.5460000038146973
50,4,2.2335903644561768,0.5519999861717224
51,0,2.230503559112549,0.5699999928474426
51,1,2.2636759281158447,0.5580000281333923
51,2,2.1200809478759766,0.5609999895095825
51,3,2.245181083679199,0.574999988079071
51,4,2.1606178283691406,0.5690000057220459
52,0,2.184616804122925,0.5809999704360962
52,1,2.2963309288024902,0.5669999718666077
52,2,2.4111177921295166,0.5709999799728394
52,3,2.22218656539917,0.5770000219345093
52,4,2.261155366897583,0.5770000219345093
53,0,2.3387391567230225,0.5569999814033508
53,1,2.2914631366729736,0.5580000281333923
53,2,2.345308542251587,0.5680000185966492
53,3,2.1888773441314697,0.5519999861717224
53,4,2.289628744125366,0.5680000185966492
54,0,2.152986764907837,0.5889999866485596
54,1,2.264101982116699,0.5889999866485596
54,2,2.1741230487823486,0.5809999704360962
54,3,2.020885944366455,0.5910000205039978
54,4,2.1561152935028076,0.5920000076293945
55,0,2.3413703441619873,0.578000009059906
55,1,2.282886028289795,0.593999981880188
55,2,2.453096628189087,0.5770000219345093
55,3,2.3659684658050537,0.5830000042915344
55,4,2.339838981628418,0.5799999833106995
56,0,2.163837432861328,0.5699999928474426
56,1,2.261094093322754,0.5730000138282776
56,2,2.4074761867523193,0.5809999704360962
56,3,2.177516460418701,0.574999988079071
56,4,2.1423468589782715,0.5659999847412109
57,0,2.2638468742370605,0.593999981880188
57,1,2.2012038230895996,0.5830000042915344
57,2,2.2921624183654785,0.5849999785423279
57,3,2.3308568000793457,0.5910000205039978
57,4,2.2619407176971436,0.5899999737739563
58,0,2.4362316131591797,0.5740000009536743
58,1,2.2070605754852295,0.5879999995231628
58,2,2.3050804138183594,0.5979999899864197
58,3,2.2677011489868164,0.5870000123977661
58,4,2.4825050830841064,0.5640000104904175
59,0,2.2116355895996094,0.5879999995231628
59,1,2.129779100418091,0.5989999771118164
59,2,2.200101375579834,0.5950000286102295
59,3,2.1948907375335693,0.6039999723434448
59,4,2.2354090213775635,0.5879999995231628
60,0,2.303363800048828,0.5770000219345093
60,1,2.3395276069641113,0.5659999847412109
60,2,2.457836866378784,0.5590000152587891
60,3,2.3157384395599365,0.5659999847412109
60,4,2.323699474334717,0.5740000009536743
61,0,2.37292742729187,0.5811333060264587
61,1,2.572270393371582,0.5785666704177856
61,2,2.482930898666382,0.5763000249862671
61,3,2.50655198097229,0.5770333409309387
61,4,2.5367462635040283,0.5739333629608154
61,0,2.1993186473846436,0.5694000124931335
61,1,2.3409018516540527,0.5644000172615051
61,2,2.3027637004852295,0.5604000091552734
61,3,2.3410840034484863,0.5640000104904175
61,4,2.3509209156036377,0.5598999857902527
